,Unnamed: 0,Unnamed: 0.1,Statement,Emotion
0,20422,20422,Oh thank God!,joy
1,25589,25589,"Molly, ah, do you mind giving us just a minute?",neutral
2,1296,1296,Thanks.,joy
3,15100,15100,"Excellent! Okay umm, doggy.",joy
7,21876,21876, Just yesterday . I'm still getting used to it . ,joy
9,24702,24702,Yeah.,neutral
11,15880,15880,"All right, here we go.",neutral
12,19845,19845," The fans are great here , too . Not like in Philadelphia . ",joy
13,26562,26562, That is a really interesting fact . ,joy
14,24587,24587,Yay!,joy
16,14476,14476,"Oh that’s right. Well uh, would you be interested in seeing a Ukrainian film?",joy
17,21358,21358, Thanks for telling me . ,joy
19,22601,22601, Of course not ! ,joy
20,7970,7970,"Okay, you’re fine.",neutral
21,20089,20089,"Okay, shoot.",neutral
22,7822,7822," Great , so what happens now ? ",joy
23,4084,4084, That's really a good thing . Let's do our part . ,joy
24,6454,6454," It displays your slender figure , darling . ",joy
25,20543,20543, Its 3D animation is attractive and its colorful scenes are also unforgettable . ,joy
28,6878,6878,"Well Joey, we’re all…we’re all very proud of you.",joy
29,29058,29058,"Well, the movie was great, dinner was great, and there’s nothing like a cool, crisp New York evening.",neutral
30,17749,17749,No.,neutral
31,23703,23703,"All right look, I’m changing it to 50 bucks, or your best offer.",neutral
34,929,929,Do,neutral
35,24766,24766, Sure . ,joy
36,12489,12489, You ’ re a real friend in need . ,joy
37,15959,15959, I would greatly appreciate that . ,joy
38,7244,7244,They did it right there on the couch.,neutral
40,29152,29152," I think it ’ s great ! I really like the color , and it goes really well with your eyes . I ’ Ve actually been eyeing that dress at Maxine ’ s for a while now , but I wasn ’ t sure I could afford ninety-five dollars for a dress at the moment . ",joy
41,11887,11887," ( After they enter the park ) Oh , it's so quiet here.We have the park to ourselves , only you and me ! ",joy
43,2403,2403," Well , how about tomorrow night ? Are you doing anything then ? ",joy
46,27145,27145," Oh , dear , I'm so happy . ",joy
47,22421,22421,Relax every muscle in your body.,neutral
48,10528,10528,"Oh, no-no-no, see, that-that clock’s a little fast, uh, we have 17 minutes.",neutral
51,10979,10979, Great – That ’ ll be big help . ,joy
52,2803,2803,"Ah,",neutral
53,19008,19008, I am looking forward to returning to this restaurant . ,joy
54,15837,15837, Good luck ! ,joy
55,18181,18181, Great . I'll be in later today . Thanks for calling . Bye . ,joy
58,1132,1132,Let’s just say there was a typographical error with a sex manual.,joy
59,5931,5931," that ’ s a great idea . I ’ ll search for some information on the internet . If it ’ s possible to do , the internet will have some information about it . ",joy
60,16132,16132, Remember the garden party they gave when we were in England ? ,joy
61,23467,23467,"He’s awfully short and I think he’s talking to himself. And to be completely honest, he’s not that good in bed.",neutral
62,30117,30117," That'll be enough , and the repayment period sounds good to me . ",joy
64,5199,5199,Cool!!,joy
65,2182,2182, How about tango ? ,joy
68,10638,10638,"And we’re gonna go out, we’re gonna have a good time, and take your mind off of childbirth and c-sections and-and giant baby heads stretching out",joy
69,8280,8280, No . I ’ Ve not had the pleasure of meeting her yet . ,joy
70,7107,7107," Such an eye ! The true hazel eye-and so brilliant ! Regular features , open countenance , with a complexion , Oh ! What a bloom of full health , and such a pretty height and size ; such a firm and upright figure ! There is health , not merely in her bloom , but in her air , her head , her glance . One hears sometimes of a child being ' the picture of health ' ; now , she always gives me the idea of being the complete picture of grown-up health . She is loveliness itself . ",joy
71,15560,15560, absolutely . I can decide when and what to do all by myself . ,joy
72,11591,11591,Have you enjoyed your weekend ? ,joy
73,7042,7042, Thank you . ,joy
74,12569,12569," I appreciate that , thank you . ",joy
75,15220,15220, You needn ’ t buy one . You can have mine . ,joy
78,18497,18497,Ha-ha,joy
79,4988,4988," Oh , it's fantastic . ",joy
80,4364,4364, I guess that's what I need . Thanks . You're being a really good friend . ,joy
82,23131,23131,Hey Phoebe!,joy
83,24823,24823,Well you all know that I'm a pacifist so I'm not interested in war in any way.,neutral
86,11531,11531, Thank you . How much will this cost ? ,joy
87,23092,23092,Joey? What’s up?,neutral
88,18962,18962,Another,neutral
89,18978,18978,"Whoops.  Oh, hey, do you need help with that?",neutral
91,28121,28121,"See? Ben doesn't think you're a loser, he thinks you're a cowboy! Now that's something.",joy
92,1685,1685, I don't think so . Let's walk by the stream . I am sure we can find the waterfall on the map . ,joy
93,18776,18776,"Ooh, and it's so nice having this little sink here...",joy
94,22241,22241, Why not ? ,joy
97,26026,26026,"No-no, they just had a big blowout over what to do with my room.",neutral
98,6426,6426,And you can see me!,neutral
99,9692,9692, That's great . I'll pick you up at eight . ,joy
